Roll Number,95967
Score (%),11.67

Question Number,Student Answer,Correct Answer,Result
1,Blank,B,Incorrect
3,Blank,A,Incorrect
4,B,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Error,D,Incorrect
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,B,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,C,B,Incorrect
16,Blank,A,Incorrect
17,Blank,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,A,A,Correct
21,B,B,Correct
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,Blank,D,Incorrect
25,B,B,Correct
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,C,D,Incorrect
29,Blank,B,Incorrect
30,Blank,A,Incorrect
31,Blank,D,Incorrect
32,C,C,Correct
33,B,B,Correct
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,Blank,C,Incorrect
37,B,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,Blank,C,Incorrect
41,A,A,Correct
42,Blank,B,Incorrect
43,C,D,Incorrect
44,Blank,C,Incorrect
45,A,A,Correct
46,Blank,B,Incorrect
47,C,D,Incorrect
48,Blank,A,Incorrect
49,A,C,Incorrect
50,Blank,B,Incorrect
51,Blank,D,Incorrect
52,C,A,Incorrect
53,Blank,B,Incorrect
54,A,C,Incorrect
55,Blank,D,Incorrect
56,Blank,A,Incorrect
57,Blank,B,Incorrect
58,B,C,Incorrect
59,Blank,D,Incorrect
60,Blank,A,Incorrect
