Roll Number,05017
Score (%),8.33

Question Number,Student Answer,Correct Answer,Result
1,A,B,Incorrect
2,D,D,Correct
3,A,A,Correct
4,Error,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Blank,D,Incorrect
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,Blank,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,Blank,B,Incorrect
16,Blank,A,Incorrect
17,Blank,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,B,A,Incorrect
21,Blank,B,Incorrect
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,Blank,D,Incorrect
25,Blank,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,Blank,D,Incorrect
29,B,B,Correct
30,Blank,A,Incorrect
31,Blank,D,Incorrect
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,Blank,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,C,C,Correct
41,Blank,A,Incorrect
42,Blank,B,Incorrect
43,C,D,Incorrect
44,Blank,C,Incorrect
45,Blank,A,Incorrect
46,Blank,B,Incorrect
47,Blank,D,Incorrect
48,A,A,Correct
49,Blank,C,Incorrect
50,Blank,B,Incorrect
51,Blank,D,Incorrect
52,Blank,A,Incorrect
53,Blank,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,Blank,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,B,A,Incorrect
