Roll Number,67890
Score (%),11.67

Question Number,Student Answer,Correct Answer,Result
1,A,B,Incorrect
2,B,D,Incorrect
3,C,A,Incorrect
4,Blank,C,Incorrect
5,Blank,B,Incorrect
6,B,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Blank,D,Incorrect
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,Blank,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,A,B,Incorrect
16,A,A,Correct
17,Blank,D,Incorrect
18,C,C,Correct
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,A,B,Incorrect
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,D,D,Correct
25,Blank,B,Incorrect
26,Blank,A,Incorrect
27,C,C,Correct
28,Blank,D,Incorrect
29,Blank,B,Incorrect
30,A,A,Correct
31,A,D,Incorrect
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,Blank,C,Incorrect
37,Blank,A,Incorrect
38,B,D,Incorrect
39,Blank,B,Incorrect
40,Blank,C,Incorrect
41,Blank,A,Incorrect
42,Blank,B,Incorrect
43,Blank,D,Incorrect
44,Blank,C,Incorrect
45,A,A,Correct
46,A,B,Incorrect
47,Blank,D,Incorrect
48,Blank,A,Incorrect
49,Blank,C,Incorrect
50,Blank,B,Incorrect
51,Blank,D,Incorrect
52,B,A,Incorrect
53,Blank,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,Blank,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,A,A,Correct
