Roll Number,39175
Score (%),18.33

Question Number,Student Answer,Correct Answer,Result
1,C,B,Incorrect
2,A,D,Incorrect
3,Blank,A,Incorrect
4,D,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,B,B,Correct
8,Blank,C,Incorrect
9,A,D,Incorrect
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,B,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,C,B,Incorrect
16,C,A,Incorrect
17,B,D,Incorrect
18,A,C,Incorrect
19,B,B,Correct
20,C,A,Incorrect
21,D,B,Incorrect
22,B,C,Incorrect
23,B,"A, C",Incorrect
24,A,D,Incorrect
25,B,B,Correct
26,C,A,Incorrect
27,D,C,Incorrect
28,C,D,Incorrect
29,A,B,Incorrect
30,A,A,Correct
31,B,D,Incorrect
32,C,C,Correct
33,D,B,Incorrect
34,D,A,Incorrect
35,C,B,Incorrect
36,C,C,Correct
37,B,A,Incorrect
38,B,D,Incorrect
39,Blank,B,Incorrect
40,Blank,C,Incorrect
41,A,A,Correct
42,Error,B,Incorrect
43,B,D,Incorrect
44,A,C,Incorrect
45,D,A,Incorrect
46,Error,B,Incorrect
47,C,D,Incorrect
48,C,A,Incorrect
49,C,C,Correct
50,C,B,Incorrect
51,B,D,Incorrect
52,Blank,A,Incorrect
53,C,B,Incorrect
54,Blank,C,Incorrect
55,C,D,Incorrect
56,Blank,A,Incorrect
57,C,B,Incorrect
58,C,C,Correct
59,D,D,Correct
60,A,A,Correct
