Roll Number,34567
Score (%),6.67

Question Number,Student Answer,Correct Answer,Result
1,A,B,Incorrect
2,Blank,D,Incorrect
3,Blank,A,Incorrect
4,Blank,C,Incorrect
5,A,B,Incorrect
6,Blank,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Blank,D,Incorrect
10,A,A,Correct
11,Blank,B,Incorrect
12,Blank,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,A,B,Incorrect
16,A,A,Correct
17,Blank,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,A,A,Correct
21,Blank,B,Incorrect
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,Blank,D,Incorrect
25,C,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,Blank,D,Incorrect
29,Blank,B,Incorrect
30,Blank,A,Incorrect
31,Blank,D,Incorrect
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,Blank,C,Incorrect
37,C,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,Blank,C,Incorrect
41,Blank,A,Incorrect
42,Blank,B,Incorrect
43,Blank,D,Incorrect
44,A,C,Incorrect
45,Blank,A,Incorrect
46,Blank,B,Incorrect
47,Blank,D,Incorrect
48,Blank,A,Incorrect
49,Blank,C,Incorrect
50,Blank,B,Incorrect
51,Blank,D,Incorrect
52,A,A,Correct
53,Blank,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,C,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,Blank,A,Incorrect
