Roll Number,45678
Score (%),13.00

Question Number,Student Answer,Correct Answer,Result
1,B,B,Correct
2,C,D,Incorrect
3,D,A,Incorrect
4,A,C,Incorrect
5,Blank,B,Incorrect
6,C,A,Incorrect
7,Error,B,Incorrect
8,A,C,Incorrect
9,B,D,Incorrect
10,Error,A,Incorrect
11,D,B,Incorrect
12,C,D,Incorrect
13,B,A,Incorrect
14,C,C,Correct
15,A,B,Incorrect
16,A,A,Correct
17,B,D,Incorrect
18,C,C,Correct
19,A,B,Incorrect
20,B,A,Incorrect
21,C,B,Incorrect
22,D,C,Incorrect
23,B,"A, C",Incorrect
24,C,D,Incorrect
25,C,B,Incorrect
26,D,A,Incorrect
27,B,C,Incorrect
28,C,D,Incorrect
29,C,B,Incorrect
30,A,A,Correct
31,A,D,Incorrect
32,B,C,Incorrect
33,C,B,Incorrect
34,D,A,Incorrect
35,C,B,Incorrect
36,B,C,Incorrect
37,A,A,Correct
38,C,D,Incorrect
39,B,B,Correct
40,C,C,Correct
41,B,A,Incorrect
42,Error,B,Incorrect
43,C,D,Incorrect
44,B,C,Incorrect
45,A,A,Correct
46,B,B,Correct
47,C,D,Incorrect
48,C,A,Incorrect
49,B,C,Incorrect
50,D,B,Incorrect
51,C,D,Incorrect
52,C,A,Incorrect
53,C,B,Incorrect
54,B,C,Incorrect
55,D,D,Correct
56,A,A,Correct
57,B,B,Correct
58,B,C,Incorrect
59,C,D,Incorrect
60,B,A,Incorrect
