Roll Number,23450
Score (%),16.00

Question Number,Student Answer,Correct Answer,Result
1,A,B,Incorrect
2,D,D,Correct
3,D,A,Incorrect
4,B,C,Incorrect
5,A,B,Incorrect
6,C,A,Incorrect
7,C,B,Incorrect
8,A,C,Incorrect
9,C,D,Incorrect
10,C,A,Incorrect
11,A,B,Incorrect
12,A,D,Incorrect
13,B,A,Incorrect
14,B,C,Incorrect
15,A,B,Incorrect
16,D,A,Incorrect
17,D,D,Correct
18,C,C,Correct
19,A,B,Incorrect
20,B,A,Incorrect
21,B,B,Correct
22,D,C,Incorrect
23,B,"A, C",Incorrect
24,C,D,Incorrect
25,D,B,Incorrect
26,D,A,Incorrect
27,B,C,Incorrect
28,C,D,Incorrect
29,C,B,Incorrect
30,A,A,Correct
31,D,D,Correct
32,B,C,Incorrect
33,C,B,Incorrect
34,D,A,Incorrect
35,B,B,Correct
36,B,C,Incorrect
37,A,A,Correct
38,C,D,Incorrect
39,B,B,Correct
40,D,C,Incorrect
41,B,A,Incorrect
42,C,B,Incorrect
43,D,D,Correct
44,C,C,Correct
45,B,A,Incorrect
46,D,B,Incorrect
47,C,D,Incorrect
48,A,A,Correct
49,Blank,C,Incorrect
50,A,B,Incorrect
51,D,D,Correct
52,A,A,Correct
53,Error,B,Incorrect
54,Error,C,Incorrect
55,D,D,Correct
56,D,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,A,A,Correct
